company,is_profitable,has_high_debt,has_strong_cash_flow,has_good_management,has_regulatory_issues,recommend_buy
Mu Enterprises,0.216,0.484,0.725,0.977,0.169,0
Omicron Ventures,0.179,0.014,0.534,0.274,0.405,0
Apex Startup,0.873,0.574,0.469,0.44,0.097,0
Epsilon Dynamics,0.492,0.577,0.686,0.152,0.325,0
Titan Media,0.226,0.523,0.451,0.443,0.25,0
Xi Enterprises,0.265,0.081,0.24,0.552,0.037,0
Gamma Systems,0.288,0.283,0.86,0.071,0.07,0
Nu Holdings,0.115,0.225,0.149,0.266,0.071,0
Luminous Global,0.439,0.469,0.304,0.403,0.057,0
Stellar Networks,0.604,0.026,0.229,0.674,0.259,0
Sigma Capital,0.04,0.756,0.471,0.652,0.45,0
Apex Tech 482,0.348,0.333,0.67,0.858,0.057,0
Aether Industries,0.455,0.315,0.323,0.97,0.092,0
Pinnacle Group,0.413,0.188,0.362,0.756,0.118,0
Tau Group,0.881,0.485,0.029,0.63,0.193,0
Aero Tech,0.225,0.841,0.113,0.947,0.269,0
Sigma Holdings,0.835,0.98,0.244,0.551,0.048,0
Aero Networks 957,0.788,0.267,0.003,0.726,0.246,1
Nova Partners 496,0.345,0.552,0.543,0.455,0.112,0
Omicron Holdings,0.044,0.745,0.705,0.811,0.072,0
Apex Industries,0.126,0.965,0.332,0.1,0.437,0
Kappa Holdings,0.871,0.97,0.075,0.782,0.049,0
Chi Partners,0.38,0.317,0.719,0.759,0.256,0
Zeta Holdings,0.978,0.76,0.704,0.101,0.046,0
Delta Global,0.358,0.431,0.244,0.412,0.275,0
Quantum Media,0.683,0.498,0.583,0.232,0.177,0
Cyber Global,0.678,0.158,0.442,0.346,0.128,0
Upsilon Enterprises,0.999,0.853,0.107,0.381,0.106,0
Nexus Innovations,0.008,0.865,0.778,0.974,0.252,0
Omicron Media,0.802,0.219,0.19,0.251,0.159,0
Eta Industries 317,0.789,0.033,0.365,0.131,0.38,0
Pinnacle Ventures,0.531,0.913,0.83,0.257,0.263,0
Chi Startup,0.468,0.075,0.754,0.226,0.15,0
Aether Ventures,0.09,0.395,0.264,0.124,0.06,0
Omega Startup,0.675,0.471,0.62,0.943,0.064,0
Cyber Global 665,0.408,0.14,0.946,0.304,0.222,0
Cyber Ventures 687,0.949,0.696,0.54,0.587,0.116,0
Echo Holdings,0.939,0.28,0.69,0.217,0.148,1
Omega Partners,0.902,0.645,0.061,0.276,0.207,0
Xi Media,0.971,0.051,0.334,0.989,0.327,1
Vortex Enterprises,0.813,0.233,0.774,0.789,0.2,1
Pinnacle Innovations,0.799,0.11,0.866,0.132,0.054,1
Rho Industries,0.127,0.421,0.114,0.064,0.126,0
Omicron Media 45,0.727,0.909,0.659,0.302,0.393,0
Stellar Startup,0.49,0.91,0.073,0.081,0.312,0
Aether Networks,0.381,0.597,0.295,0.506,0.083,0
Xi Holdings 463,0.888,0.414,0.827,0.399,0.254,0
Kappa Labs,0.067,0.832,0.093,0.097,0.142,0
Aether Partners,0.33,0.122,0.354,0.665,0.129,0
Titan Global,0.352,0.578,0.213,0.657,0.093,0
Sigma Capital 232,0.807,0.845,0.975,0.818,0.135,0
Sigma Corp,0.18,0.703,0.309,0.34,0.001,0
Kappa Corp,0.092,0.53,0.376,0.454,0.043,0
Titan Tech,0.883,0.156,0.754,0.05,0.018,1
Aero Innovations 221,0.755,0.114,0.43,0.283,0.188,0
Nexus Media,0.055,0.204,0.945,0.767,0.28,0
Stellar Solutions 133,0.38,0.704,0.5,0.833,0.435,0
Beta Group,0.921,0.862,0.576,0.573,0.216,0
Phi Solutions,0.801,0.618,0.832,0.92,0.016,0
Upsilon Networks,0.222,0.779,0.076,0.633,0.196,0
Kappa Systems,0.103,0.256,0.173,0.153,0.396,0
Cyber Capital,0.76,0.449,0.924,0.564,0.145,1
Kappa Group,0.068,0.442,0.303,0.275,0.011,0
Delta Ventures,0.832,0.077,0.864,0.855,0.159,1
Gamma Group,0.909,0.572,0.188,0.605,0.079,0
Zeta Studios,0.646,0.039,0.708,0.991,0.113,1
Quantum Holdings,0.774,0.679,0.052,0.631,0.094,0
Rho Media,0.873,0.333,0.583,0.141,0.091,1
Upsilon Partners,0.377,0.792,0.813,0.67,0.2,0
Stellar Studios,0.362,0.363,0.18,0.214,0.375,0
Epsilon Global,0.844,0.101,0.771,0.835,0.559,0
Iota Media,0.377,0.162,0.831,0.771,0.362,0
Pi Group,0.611,0.752,0.784,0.234,0.041,0
Tau Dynamics,0.503,0.419,0.162,0.2,0.16,0
Vanguard Startup,0.285,0.763,0.273,0.905,0.034,0
Nova Ventures,0.93,0.415,0.396,0.374,0.179,0
Eta Networks,0.791,0.138,0.287,0.83,0.304,1
Alpha Tech,0.019,0.216,0.15,0.94,0.172,0
Theta Industries,0.238,0.639,0.623,0.063,0.266,0
Luminous Systems,0.719,0.291,0.002,0.353,0.216,0
Omega Tech,0.953,0.544,0.786,0.508,0.005,1
Psi Tech,0.345,0.733,0.628,0.772,0.251,0
Mu Group,0.981,0.479,0.182,0.135,0.285,0
Phi Global,0.515,0.989,0.543,0.253,0.312,0
Chi Innovations,0.124,0.368,0.889,0.743,0.344,0
Apex Ventures,0.924,0.519,0.801,0.727,0.014,1
Phi Startup,0.08,0.661,0.306,0.603,0.078,0
Psi Media,0.998,0.275,0.98,0.948,0.013,1
Lambda Corp,0.143,0.608,0.781,0.035,0.009,0
Luminous Industries,0.605,0.679,0.949,0.372,0.207,0
Sigma Systems,0.961,0.026,0.186,0.518,0.489,0
Xi Media 293,0.694,0.999,0.2,0.136,0.025,0
Phi Ventures,0.71,0.55,0.29,0.3,0.025,0
Omega Studios,0.224,0.985,0.792,0.237,0.142,0
Aether Logistics 627,0.884,0.066,0.398,0.717,0.128,1
Iota Networks,0.642,0.45,0.68,0.345,0.216,0
Iota Holdings,0.503,0.868,0.831,0.518,0.111,0
Vanguard Global,0.846,0.251,0.635,0.551,0.034,1
Lambda Capital,0.942,0.154,0.659,0.721,0.096,1
Beta Tech,0.045,0.641,0.577,0.651,0.246,0
Pinnacle Global,0.642,0.302,0.245,0.807,0.1,0
Aero Labs,0.464,0.34,0.144,0.861,0.081,0
Eta Networks 248,0.466,0.267,0.248,0.097,0.074,0
Lambda Networks,0.934,0.721,0.19,0.159,0.535,0
Zeta Dynamics,0.505,0.967,0.215,0.353,0.01,0
Synapse Global,0.537,0.847,0.431,0.882,0.15,0
Luminous Partners,0.195,0.553,0.074,0.504,0.284,0
Theta Logistics,0.975,0.394,0.795,0.339,0.278,0
Zenith Industries,0.045,0.137,0.333,0.474,0.096,0
Echo Networks,0.163,0.991,0.739,0.299,0.046,0
Upsilon Labs,0.816,0.368,0.674,0.98,0.1,1
Beta Media,0.475,0.967,0.783,0.776,0.112,0
Echo Dynamics,0.148,0.681,0.032,0.948,0.08,0
Xi Holdings 514,0.775,0.921,0.873,0.736,0.023,0
Synapse Studios,0.377,0.957,0.46,0.533,0.11,0
Rho Media 496,0.192,0.247,0.558,0.225,0.49,0
Apex Networks,0.48,0.56,0.934,0.722,0.058,0
Nexus Ventures,0.955,0.805,0.29,0.288,0.236,0
Synapse Enterprises,0.202,0.539,0.933,0.696,0.025,0
Vanguard Systems,0.638,0.052,0.413,0.717,0.019,1
Synapse Labs,0.651,0.756,0.287,0.285,0.008,0
Gamma Solutions,0.418,0.838,0.934,0.036,0.189,0
Tau Industries,0.009,0.568,0.107,0.983,0.063,0
Cyber Innovations,0.193,0.113,0.162,0.459,0.089,0
Luminous Enterprises,0.175,0.856,0.897,0.827,0.241,0
Iota Labs,0.324,0.248,0.261,0.236,0.185,0
Theta Group,0.307,0.405,0.503,0.895,0.241,0
Tau Ventures,0.615,0.219,0.134,0.153,0.193,0
Synapse Partners,0.802,0.826,0.762,0.68,0.105,0
Omega Tech 940,0.564,0.062,0.548,0.505,0.233,0
Theta Enterprises,0.717,0.489,0.899,0.445,0.021,0
Aether Group,0.673,0.308,0.022,0.254,0.001,0
Epsilon Partners,0.994,0.935,0.069,0.934,0.007,0
Aero Ventures,0.993,0.382,0.87,0.907,0.068,1
Psi Startup,0.178,0.537,0.529,0.728,0.063,0
Pinnacle Dynamics,0.823,0.248,0.346,0.276,0.286,0
Aero Media,0.766,0.884,0.016,0.206,0.061,0
Delta Systems,0.741,0.402,0.234,0.217,0.505,0
Luminous Networks,0.577,0.773,0.818,0.237,0.32,0
Vortex Solutions,0.626,0.427,0.496,0.972,0.309,0
Aero Holdings,0.149,0.376,0.754,0.474,0.334,0
Delta Partners,0.413,0.417,0.53,0.388,0.069,0
Omega Tech 549,0.725,0.19,0.268,0.674,0.111,1
Synapse Enterprises 891,0.907,0.303,0.909,0.212,0.029,1
Pi Media,0.704,0.397,0.239,0.322,0.065,0
Omega Studios 904,0.497,0.099,0.981,0.469,0.291,0
Kappa Corp 268,0.553,0.584,0.72,0.295,0.061,0
Aether Networks 264,0.763,0.489,0.724,0.74,0.081,0
Pinnacle Labs 189,0.917,0.542,0.642,0.059,0.004,0
Alpha Holdings,0.137,0.631,0.068,0.151,0.05,0
Echo Labs,0.659,0.016,0.532,0.411,0.002,0
Zenith Holdings,0.806,0.91,0.107,0.096,0.049,0
Sigma Dynamics,0.079,0.959,0.459,0.243,0.241,0
Gamma Tech,0.405,0.377,0.476,0.637,0.351,0
Chi Capital,0.977,0.974,0.895,0.919,0.024,0
Sigma Industries,0.924,0.684,0.28,0.543,0.263,0
Xi Capital,0.144,0.821,0.821,0.929,0.061,0
Pinnacle Networks,0.384,0.74,0.79,0.689,0.011,0
Omicron Tech,0.341,0.769,0.955,0.397,0.487,0
Apex Systems,0.356,0.941,0.432,0.68,0.322,0
Epsilon Tech,0.268,0.38,0.784,0.154,0.107,0
Nova Ventures 780,0.27,0.133,0.187,0.449,0.155,0
Zeta Media,0.598,0.324,0.385,0.292,0.178,0
Pi Capital 534,0.17,0.381,0.139,0.301,0.25,0
Synapse Tech,0.361,0.944,0.721,0.496,0.169,0
Nexus Networks,0.842,0.38,0.862,0.44,0.063,1
Upsilon Networks 618,0.947,0.201,0.314,0.965,0.482,1
Luminous Systems 334,0.376,0.816,0.393,0.114,0.128,0
Aether Corp,0.953,0.462,0.708,0.438,0.05,1
Aero Labs 143,0.633,0.242,0.659,0.715,0.42,0
Nexus Partners,0.507,0.92,0.692,0.544,0.275,0
Zeta Startup,0.769,0.658,0.355,0.647,0.01,0
Stellar Startup 11,0.099,0.222,0.747,0.558,0.262,0
Vortex Studios,0.151,0.998,0.483,0.295,0.527,0
Psi Global,0.343,0.784,0.521,0.348,0.015,0
Gamma Startup,0.023,0.343,0.109,0.8,0.273,0
Chi Partners 437,0.958,0.232,0.405,0.184,0.183,0
Nu Group,0.592,0.389,0.705,0.206,0.366,0
Phi Enterprises,0.458,0.262,0.863,0.528,0.152,0
Psi Ventures,0.846,0.617,0.814,0.706,0.057,0
Theta Systems,0.305,0.183,0.693,0.511,0.166,0
Pinnacle Solutions,0.555,0.49,0.14,0.315,0.238,0
Iota Enterprises,0.815,0.964,0.505,0.495,0.205,0
Zeta Capital,0.031,0.761,0.292,0.275,0.208,0
Apex Partners,0.511,0.573,0.268,0.543,0.47,0
Nova Partners 224,0.99,0.102,0.83,0.751,0.08,1
Theta Systems 215,0.811,0.588,0.351,0.711,0.255,0
Xi Industries,0.57,0.532,0.597,0.168,0.509,0
Zenith Startup,0.136,0.75,0.412,0.059,0.05,0
Kappa Networks,0.828,0.761,0.676,0.489,0.194,0
Zeta Dynamics 528,0.75,0.695,0.877,0.455,0.107,0
Zeta Group,0.635,0.697,0.85,0.796,0.093,0
Aether Capital,0.131,0.852,0.788,0.894,0.441,0
Beta Startup 952,0.858,0.441,0.001,0.958,0.034,1
Lambda Innovations,0.093,0.36,0.082,0.665,0.356,0
Omicron Holdings 672,0.091,0.095,0.213,0.078,0.149,0
Chi Startup 881,0.422,0.132,0.071,0.383,0.351,0
Iota Dynamics,0.773,0.753,0.133,0.993,0.029,0
Nova Ventures 740,0.213,0.748,0.92,0.616,0.152,0
Theta Capital 748,0.384,0.963,0.315,0.14,0.126,0
Titan Global 798,0.941,0.027,0.847,0.876,0.038,1
Delta Systems 507,0.386,0.241,0.638,0.071,0.362,0
Aero Ventures 560,0.683,0.763,0.954,0.77,0.008,0
Delta Dynamics,0.507,0.629,0.501,0.415,0.351,0
Sigma Tech,0.31,0.511,0.203,0.808,0.151,0
Epsilon Global 716,0.437,0.953,0.239,0.244,0.504,0
Mu Startup,0.013,0.137,0.011,0.496,0.077,0
Omega Logistics,0.75,0.873,0.733,0.118,0.366,0
Rho Capital,0.628,0.496,0.511,0.055,0.401,0
Luminous Startup,0.228,0.509,0.044,0.863,0.055,0
Gamma Partners,0.803,0.714,0.656,0.225,0.033,0
Delta Solutions,0.223,0.516,0.046,0.401,0.184,0
Zeta Partners,0.457,0.369,0.292,0.785,0.282,0
Nu Partners,0.76,0.245,0.006,0.41,0.062,0
Chi Corp 778,0.657,0.849,0.727,0.104,0.182,0
Kappa Innovations,0.093,0.921,0.897,0.52,0.223,0
Eta Studios,0.134,0.82,0.075,0.568,0.139,0
Phi Networks,0.453,0.234,0.944,0.136,0.372,0
Phi Holdings 124,0.536,0.965,0.208,0.308,0.107,0
Titan Industries,0.215,0.857,0.148,0.711,0.443,0
Mu Corp,0.952,0.855,0.556,0.55,0.039,0
Delta Systems 134,0.198,0.401,0.686,0.938,0.015,0
Epsilon Enterprises,0.902,0.443,0.129,0.905,0.309,0
Lambda Capital 444,0.822,0.395,0.029,0.683,0.055,0
Kappa Industries,0.614,0.617,0.647,0.499,0.306,0
Aero Enterprises,0.643,0.797,0.249,0.994,0.367,0
Synapse Partners 801,0.485,0.913,0.502,0.388,0.049,0
Sigma Industries 829,0.992,0.529,0.767,1.0,0.603,0
Delta Systems 590,0.847,0.797,0.355,0.839,0.384,0
Psi Capital,0.028,0.701,0.948,0.564,0.212,0
Apex Partners 317,0.176,0.038,0.056,0.602,0.004,0
Iota Networks 735,0.177,0.802,0.868,0.06,0.023,0
Vanguard Ventures,0.961,0.374,0.942,0.396,0.027,1
Stellar Labs,0.649,0.174,0.969,0.694,0.255,1
Mu Dynamics,0.307,0.688,0.127,0.729,0.648,0
Echo Systems,0.64,0.104,0.496,0.331,0.02,0
Zeta Networks,0.447,0.265,0.25,0.068,0.065,0
Aero Labs 903,0.379,0.546,0.101,0.479,0.245,0
Epsilon Industries,0.295,0.319,0.952,0.074,0.042,0
Zeta Networks 609,0.985,0.893,0.705,0.431,0.155,0
Chi Enterprises,0.974,0.409,0.554,0.926,0.111,1
Nexus Capital,0.55,0.491,0.055,0.004,0.011,0
Eta Corp,0.207,0.638,0.977,0.474,0.016,0
Rho Tech,0.642,0.388,0.371,0.381,0.103,0
Sigma Capital 64,0.151,0.696,0.097,0.668,0.27,0
Delta Dynamics 839,0.523,0.966,0.687,0.936,0.201,0
Gamma Studios,0.571,0.517,0.571,0.983,0.047,0
Zeta Holdings 207,0.997,0.627,0.834,0.258,0.36,0
Sigma Studios,0.458,0.873,0.787,0.623,0.141,0
Vortex Capital,0.758,0.94,0.925,0.563,0.028,0
Aero Innovations 393,0.655,0.572,0.473,0.172,0.081,0
Nexus Networks 708,0.238,0.746,0.921,0.897,0.002,0
Apex Startup 996,0.869,0.134,0.974,0.443,0.328,1
Nu Group 217,0.913,0.407,0.484,0.517,0.193,0
Zenith Dynamics,0.136,0.851,0.879,0.029,0.024,0
Cyber Industries,0.918,0.705,0.274,0.824,0.105,0
Omega Labs,0.594,0.178,0.87,0.587,0.129,1
Zeta Global,0.027,0.05,0.854,0.78,0.068,0
Aero Studios,0.02,0.78,0.768,0.009,0.284,0
Rho Media 825,0.943,0.713,0.709,0.275,0.201,0
Upsilon Studios 845,0.624,0.584,0.007,0.999,0.281,0
Tau Global,0.684,0.482,0.336,0.276,0.098,0
Upsilon Enterprises 154,0.517,0.24,0.057,0.857,0.274,0
Beta Labs,0.997,0.259,0.419,0.388,0.005,0
Omicron Partners,0.638,0.476,0.941,0.358,0.108,0
Tau Startup,0.471,0.741,0.725,0.559,0.157,0
Omicron Ventures 229,0.744,0.307,0.788,0.331,0.075,1
Vortex Capital 967,0.621,0.472,0.195,0.12,0.18,0
Kappa Logistics,0.992,0.343,0.987,0.893,0.61,0
Zeta Labs,0.333,0.987,0.313,0.058,0.158,0
Lambda Labs,0.785,0.78,0.129,0.434,0.11,0
Pinnacle Enterprises,0.731,0.95,0.892,0.757,0.098,0
Upsilon Logistics,0.103,0.503,0.306,0.065,0.009,0
Iota Networks 924,0.49,0.75,0.165,0.907,0.542,0
Gamma Dynamics,0.877,0.256,0.535,0.049,0.456,0
Theta Holdings,0.444,0.124,0.253,0.702,0.049,0
Echo Media,0.701,0.419,0.899,0.512,0.208,0
Titan Enterprises,0.778,0.831,0.973,0.358,0.155,0
Synapse Networks,0.235,0.013,0.089,0.11,0.147,0
Epsilon Startup,0.905,0.644,0.457,0.977,0.141,0
Tau Ventures 821,0.677,0.426,0.116,0.851,0.265,0
Echo Innovations,0.878,0.093,0.815,0.183,0.107,1
Lambda Startup,0.133,0.726,0.982,0.844,0.02,0
Psi Media 30,0.863,0.88,0.727,0.892,0.118,0
Epsilon Innovations,0.655,0.012,0.868,0.525,0.165,1
Chi Studios,0.523,0.701,0.095,0.662,0.066,0
Aether Media,0.055,0.643,0.157,0.849,0.279,0
Delta Studios,0.223,0.643,0.403,0.235,0.072,0
Nova Networks,0.119,0.497,0.653,0.103,0.186,0
Upsilon Studios 576,0.207,0.671,0.95,0.363,0.017,0
Echo Media 485,0.717,0.363,0.453,0.097,0.152,0
Omega Startup 47,0.897,0.492,0.822,0.743,0.131,0
Nexus Enterprises,0.457,0.781,0.717,0.108,0.044,0
Nova Group,0.658,0.956,0.135,0.499,0.29,0
Synapse Studios 800,0.921,0.177,0.579,0.73,0.031,1
Zenith Dynamics 429,0.98,0.916,0.762,0.274,0.553,0
Zenith Global,0.843,0.548,0.314,0.737,0.198,0
Psi Logistics,0.981,0.65,0.958,0.504,0.233,0
Synapse Capital,0.571,0.667,0.417,0.748,0.333,0
Vanguard Startup 26,0.381,0.053,0.057,0.267,0.357,0
Xi Partners 34,0.359,0.453,0.616,0.676,0.2,0
Zenith Global 710,0.664,0.926,0.388,0.957,0.492,0
Rho Enterprises,0.621,0.781,0.87,0.83,0.266,0
Pinnacle Media,0.196,0.725,0.193,0.449,0.655,0
Theta Dynamics,0.041,0.279,0.264,0.161,0.199,0
Upsilon Labs 809,0.573,0.358,0.784,0.318,0.075,0
Aero Partners,0.537,0.092,0.221,0.213,0.089,0
Vanguard Labs,0.997,0.824,0.981,0.009,0.192,0
Echo Systems 982,0.04,0.886,0.381,0.796,0.033,0
Vanguard Ventures 527,0.803,0.446,0.044,0.898,0.04,0
Pinnacle Partners,0.007,0.065,0.67,0.774,0.307,0
Stellar Tech,0.747,0.154,0.459,0.332,0.045,0
Luminous Systems 933,0.259,0.388,0.63,0.433,0.003,0
Echo Tech,0.756,0.586,0.701,0.073,0.517,0
Zeta Global 784,0.927,0.381,0.822,0.031,0.049,1
Pinnacle Global 984,0.634,0.298,0.887,0.965,0.248,0
Aether Logistics 127,0.042,0.573,0.394,0.548,0.027,0
Xi Holdings 928,0.646,0.513,0.161,0.221,0.366,0
Delta Partners 473,0.645,0.073,0.672,0.251,0.038,1
Pi Startup,0.285,0.07,0.193,0.486,0.06,0
Luminous Ventures,0.808,0.959,0.169,0.313,0.185,0
Omega Logistics 696,0.733,0.878,0.463,0.359,0.064,0
Sigma Logistics,0.891,0.196,0.734,0.627,0.114,1
Vortex Capital 415,0.769,0.213,0.037,0.261,0.299,0
Nexus Systems,0.891,0.59,0.857,0.134,0.231,0
Pi Media 701,0.166,0.514,0.446,0.179,0.323,0
Synapse Ventures,0.04,0.761,0.232,0.264,0.04,0
Quantum Labs 940,0.455,0.046,0.981,0.324,0.191,1
Rho Capital 558,0.57,0.377,0.379,0.588,0.51,0
Omicron Studios,0.406,0.817,0.345,0.793,0.699,0
Omicron Tech 527,0.643,0.212,0.187,0.362,0.33,0
Theta Labs,0.675,0.479,0.591,0.647,0.134,0
Iota Studios,0.039,0.572,0.056,0.258,0.035,0
Tau Tech,0.217,0.607,0.471,0.482,0.053,0
Mu Media,0.66,0.265,0.724,0.343,0.097,0
Eta Corp 208,0.523,0.909,0.684,0.827,0.237,0
Pinnacle Studios,0.752,0.093,0.659,0.902,0.593,0
Stellar Studios 431,0.37,0.043,0.53,0.229,0.173,0
Luminous Startup 436,0.134,0.477,0.233,0.859,0.033,0
Alpha Capital,0.523,0.52,0.375,0.205,0.269,0
Vortex Innovations,0.261,0.536,0.565,0.612,0.525,0
Aether Labs 184,0.37,0.555,0.254,0.307,0.059,0
Theta Systems 458,0.783,0.949,0.1,0.508,0.162,0
Delta Solutions 399,0.965,0.005,0.091,0.145,0.362,0
Zeta Media 39,0.724,0.931,0.401,0.656,0.043,0
Alpha Enterprises,0.851,0.931,0.518,0.195,0.232,0
Gamma Ventures,0.239,0.0,0.157,0.997,0.27,0
Vanguard Corp,0.737,0.069,0.09,0.284,0.235,0
Luminous Corp,0.261,0.407,0.106,0.072,0.024,0
Luminous Innovations,0.694,0.966,0.563,0.77,0.23,0
Theta Innovations,0.068,0.634,0.994,0.677,0.063,0
Alpha Innovations,0.248,0.093,0.674,0.821,0.019,0
Nu Labs,0.737,0.235,0.242,0.265,0.029,0
Eta Startup,0.92,0.676,0.663,0.614,0.215,0
Echo Networks 505,0.898,0.881,0.575,0.275,0.027,0
Luminous Logistics,0.054,0.799,0.478,0.541,0.139,0
Theta Studios,0.46,0.689,0.012,0.211,0.182,0
Aether Innovations,0.237,0.471,0.613,0.366,0.177,0
Nexus Innovations 462,0.18,0.131,0.576,0.229,0.028,0
Quantum Enterprises,0.146,0.959,0.15,0.806,0.037,0
Vanguard Partners,0.721,0.785,0.3,0.562,0.161,0
Rho Labs,0.839,0.096,0.745,0.26,0.076,1
Aero Startup,0.351,0.68,0.606,0.577,0.166,0
Phi Studios,0.487,0.737,0.89,0.381,0.053,0
Chi Holdings,0.631,0.572,0.849,0.071,0.05,0
Sigma Media,0.645,0.271,0.445,0.863,0.074,1
Mu Corp 129,0.728,0.662,0.94,0.701,0.028,0
Synapse Partners 56,0.026,0.397,0.765,0.083,0.097,0
Upsilon Systems,0.247,0.284,0.626,0.131,0.542,0
Phi Labs,0.467,0.871,0.935,0.549,0.025,0
Luminous Holdings,0.523,0.64,0.31,0.347,0.088,0
Rho Logistics,0.304,0.0,0.815,0.848,0.081,0
Synapse Global 10,0.766,0.798,0.597,0.797,0.205,0
Pi Solutions 733,0.737,0.39,0.378,0.263,0.139,0
Sigma Global,0.648,0.532,0.269,0.188,0.026,0
Nova Innovations,0.7,0.492,0.321,0.152,0.712,0
Iota Group,0.727,0.233,0.151,0.494,0.098,0
Cyber Industries 339,0.08,0.751,0.146,0.267,0.086,0
Rho Dynamics,0.828,0.122,0.768,0.249,0.242,0
Cyber Startup,0.521,0.982,0.473,0.681,0.087,0
Aether Studios,0.122,0.481,0.299,0.36,0.008,0
Stellar Networks 16,0.167,0.276,0.12,0.789,0.005,0
Titan Logistics,0.371,0.089,0.158,0.091,0.075,0
Delta Ventures 661,0.154,0.536,0.107,0.488,0.066,0
Nova Enterprises,0.021,0.378,0.724,0.251,0.006,0
Apex Enterprises,0.567,0.544,0.324,0.468,0.261,0
Vanguard Logistics,0.449,0.819,0.542,0.454,0.229,0
Echo Ventures,0.776,0.239,0.721,0.658,0.153,1
Aether Logistics 628,0.283,0.41,0.322,0.096,0.376,0
Gamma Enterprises,0.107,0.192,0.032,0.642,0.091,0
Delta Ventures 227,0.606,0.071,0.93,0.209,0.111,1
Omega Industries,0.824,0.266,0.041,0.07,0.027,0
Omicron Partners 395,0.189,0.526,0.249,0.625,0.027,0
Luminous Ventures 691,0.459,0.665,0.883,0.167,0.043,0
Titan Group,0.934,0.902,0.55,0.997,0.295,0
